search URL:,https://patents.google.com/?assignee=Nio+Inc.%0A&after=priority:20130101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10131238-B2,Charging transmission line under roadway for moving electric vehicle ,"Nio Usa, Inc.",Christopher P. Ricci,2015-11-13,2016-02-26,2018-11-20,2018-11-20,https://patents.google.com/patent/US10131238B2/en,https://patentimages.storage.googleapis.com/6e/5f/52/a2a53d0b8935c9/US10131238-20181120-D00000.png
US-9984572-B1,Method and system for sharing parking space availability among autonomous vehicles ,"Nio Usa, Inc.",Austin L. Newman,2017-01-16,2017-01-16,2018-05-29,2018-05-29,https://patents.google.com/patent/US9984572B1/en,https://patentimages.storage.googleapis.com/8b/ca/6e/2816574dda1b5a/US09984572-20180529-D00000.png
US-10598734-B2,Reporting of vehicle battery state of health and charge ,"Nio Usa, Inc.","Austin L. Newman, Alexander J. Smith, Adam H. Ing",2016-12-30,2016-12-30,2020-03-24,2020-03-24,https://patents.google.com/patent/US10598734B2/en,https://patentimages.storage.googleapis.com/bb/24/8d/06e6b24655a1f7/US10598734-20200324-D00000.png
US-10471838-B2,High voltage fast charge utilizing two charge ports ,"Nio Usa, Inc.","Rick Rajaie, Miaosen Shen, Alexander J. Smith, Austin L. Newman",2017-02-15,2017-02-15,2019-11-12,2019-11-12,https://patents.google.com/patent/US10471838B2/en,https://patentimages.storage.googleapis.com/96/b0/53/469a8372f9332f/US10471838-20191112-D00000.png
US-10608299-B2,Cooling system for a battery pack system for quickly addressing thermal runaway ,"Nio Usa, Inc.",Austin NEWMAN,2016-08-09,2016-11-01,2020-03-31,2020-03-31,https://patents.google.com/patent/US10608299B2/en,https://patentimages.storage.googleapis.com/2c/68/a8/9eddf36f7e80e3/US10608299-20200331-D00000.png
US-10369898-B2,Rechargeable vehicle thermal management charging system ,"Nio Usa, Inc.","Austin L. Newman, Thomas P. Jensen",2017-01-17,2017-01-17,2019-08-06,2019-08-06,https://patents.google.com/patent/US10369898B2/en,https://patentimages.storage.googleapis.com/81/a3/8f/d0c856e1b56de2/US10369898-20190806-D00000.png
US-9928734-B2,Vehicle-to-pedestrian communication systems ,"Nio Usa, Inc.",Austin L. Newman,2016-08-02,2016-08-29,2018-03-27,2018-03-27,https://patents.google.com/patent/US9928734B2/en,https://patentimages.storage.googleapis.com/02/e3/86/d57b5be44e6b45/US09928734-20180327-D00000.png
US-2019016384-A1,Control of complex parking maneuvers and autonomous fuel replenishment of driverless vehicles ,"Nio Usa, Inc","Jamie P. Carlson, Yadunandana Yellambalase, Sathya Narayanan Kasturi Rangan",2017-07-14,2017-07-14,2019-01-17,,https://patents.google.com/patent/US20190016384A1/en,https://patentimages.storage.googleapis.com/b2/f1/c9/b1468c65b2fa5a/US20190016384A1-20190117-D00000.png
US-10611251-B2,Distributed processing network for rechargeable electric vehicle tracking and routing ,"Nio Usa, Inc.",Christopher P. Ricci,2015-11-13,2016-03-18,2020-04-07,2020-04-07,https://patents.google.com/patent/US10611251B2/en,https://patentimages.storage.googleapis.com/94/62/2d/bd29b2b2bb09d6/US10611251-20200407-D00000.png
US-10427530-B2,Vehicle charge query and exchange system and method of use ,"Nio Usa, Inc.",Christopher P. Ricci,2015-11-13,2016-05-31,2019-10-01,2019-10-01,https://patents.google.com/patent/US10427530B2/en,https://patentimages.storage.googleapis.com/de/13/56/a185b9f63e703d/US10427530-20191001-D00000.png
US-10220717-B2,Electric vehicle emergency charging system and method of use ,"Nio Usa, Inc.",Christopher P. Ricci,2015-11-13,2016-01-29,2019-03-05,2019-03-05,https://patents.google.com/patent/US10220717B2/en,https://patentimages.storage.googleapis.com/4f/37/ac/cd7fb8faae1dce/US10220717-20190305-D00000.png
US-10532663-B2,Electric vehicle overhead charging system and method of use ,"Nio Usa, Inc.",Christopher P. Ricci,2015-11-13,2016-02-16,2020-01-14,2020-01-14,https://patents.google.com/patent/US10532663B2/en,https://patentimages.storage.googleapis.com/b9/d5/1c/ee7c01f20fe08a/US10532663-20200114-D00000.png
